ID,상호명,업종,주소,구,동,지역권,메인메뉴,가격_원,주차유형,혼밥,2~4인,가족식사,단체수용,리뷰요약,추천태그,신뢰도,챗봇추천문장
113,백제꼬치,"오뎅,꼬치",전북특별자치도 전주시 덕진구 우아동3가 748-21 1층,덕진구,우아동3가,전주역·아중리권,모둠꼬치,12000,매장 옆 1대·18시 이후 노상,비추천,추천,비추천,가능,다양한 꼬치류를 먹는 술집으로 매장 옆 1대와 저녁 노상 주차 후기가 있다. 주차 공간은 매우 제한적.,술자리,B,"백제꼬치은(는) 전주역·아중리권에 있는 오뎅,꼬치 식당입니다. 대표 메뉴는 모둠꼬치이고 가격은 12,000원대. 주차는 매장 옆 1대·18시 이후 노상입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 비추천, 단체 이용은 가능입니다. 다양한 꼬치류를 먹는 술집으로 매장 옆 1대와 저녁 노상 주차 후기가 있다. 주차 공간은 매우 제한적."
114,새만금,생선회,전북특별자치도 전주시 덕진구 우아동3가 747-44,덕진구,우아동3가,전주역·아중리권,도미회 대,65000,없음,비추천,추천,가능,가능,도미회와 갈치조림·탕류가 언급되는 포차형 횟집이다. 당일 예약 후기가 있고 가격은 오래된 자료라 재확인 필요.,,C,"새만금은(는) 전주역·아중리권에 있는 생선회 식당입니다. 대표 메뉴는 도미회 대이고 가격은 65,000원(2019 확인가). 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 가능입니다. 도미회와 갈치조림·탕류가 언급되는 포차형 횟집이다. 당일 예약 후기가 있고 가격은 오래된 자료라 재확인 필요."
115,완산벌연탄집,"육류,고기요리",전북특별자치도 전주시 덕진구 우아동3가 746-10 1층,덕진구,우아동3가,전주역·아중리권,허브삼겹살,14000,인근 공영주차장·주민센터,비추천,추천,추천,가능,연탄에 굽는 허브삼겹살·매운갈비가 대표다. 원형 테이블과 붐비는 저녁 분위기이며 인근 공영주차장을 활용할 수 있음.,가족식사|주차대안,A,"완산벌연탄집은(는) 전주역·아중리권에 있는 육류,고기요리 식당입니다. 대표 메뉴는 허브삼겹살이고 가격은 14,000원. 주차는 인근 공영주차장·주민센터입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 연탄에 굽는 허브삼겹살·매운갈비가 대표다. 원형 테이블과 붐비는 저녁 분위기이며 인근 공영주차장을 활용할 수 있음."
116,에이치 샌드위치,샌드위치,전북특별자치도 전주시 덕진구 송천동1가 826-10,덕진구,송천동1가,송천동·에코시티권,잠봉뵈르 샌드위치,9000,전용 없음·골목,추천,추천,추천,제한적,수제 샤퀴테리 잠봉뵈르와 피자를 파는 브런치형 매장이다. 분위기와 테라스는 좋지만 전용주차장은 없다는 후기가 있음.,혼밥|가족식사,A,"에이치 샌드위치은(는) 송천동·에코시티권에 있는 샌드위치 식당입니다. 대표 메뉴는 잠봉뵈르 샌드위치이고 가격은 7,500~11,000원. 주차는 전용 없음·골목입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 제한적입니다. 수제 샤퀴테리 잠봉뵈르와 피자를 파는 브런치형 매장이다. 분위기와 테라스는 좋지만 전용주차장은 없다는 후기가 있음."
117,와룡소바,"우동,소바",전북특별자치도 전주시 덕진구 송천동2가 556-10,덕진구,송천동2가,송천동·에코시티권,소바,9000,없음,추천,추천,가능,제한적,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,혼밥,D,"와룡소바은(는) 송천동·에코시티권에 있는 우동,소바 식당입니다. 대표 메뉴는 소바이고 가격은 7,000~11,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 제한적입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
118,아서원1920 전주본점,중식당,전북특별자치도 전주시 덕진구 송천동2가 1422 파인트리몰 3층,덕진구,송천동2가,송천동·에코시티권,평일 점심 코스,18000,파인트리몰 지하주차장,가능,추천,추천,추천,정통 중식과 코스요리를 제공하며 룸·대형 주차장 때문에 가족모임과 단체식사에 특히 적합함.,가족식사|단체모임|주차대안,A,"아서원1920 전주본점은(는) 송천동·에코시티권에 있는 중식당 식당입니다. 대표 메뉴는 평일 점심 코스이고 가격은 18,000원부터. 주차는 파인트리몰 지하주차장입니다. 혼밥은 가능, 2~4인은 추천, 가족식사는 추천, 단체 이용은 추천입니다. 정통 중식과 코스요리를 제공하며 룸·대형 주차장 때문에 가족모임과 단체식사에 특히 적합함."
119,스시아시타 송천,"초밥,롤",전북특별자치도 전주시 덕진구 송천동2가 492-1 1층 입구건물,덕진구,송천동2가,송천동·에코시티권,아시타 스탠다드 A 초밥 12p,22000,건물 지하·공영주차 1시간권,가능,추천,추천,추천,프리미엄 초밥과 사시미를 제공하고 룸·단체석 및 주차권 후기가 있어 가족·모임에 적합함.,가족식사|단체모임|주차대안,A,"스시아시타 송천은(는) 송천동·에코시티권에 있는 초밥,롤 식당입니다. 대표 메뉴는 아시타 스탠다드 A 초밥 12p이고 가격은 22,000원. 주차는 건물 지하·공영주차 1시간권입니다. 혼밥은 가능, 2~4인은 추천, 가족식사는 추천, 단체 이용은 추천입니다. 프리미엄 초밥과 사시미를 제공하고 룸·단체석 및 주차권 후기가 있어 가족·모임에 적합함."
120,우라우라,일식당,전북특별자치도 전주시 덕진구 송천동2가 1331-5 1층 107호,덕진구,송천동2가,송천동·에코시티권,대표 일식 메뉴,20000,없음,추천,추천,가능,제한적,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,혼밥,D,"우라우라은(는) 송천동·에코시티권에 있는 일식당 식당입니다. 대표 메뉴는 대표 일식 메뉴이고 가격은 15,000~26,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 제한적입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
121,잇미버거,햄버거,전북특별자치도 전주시 덕진구 송천동2가 1327-8 1층 110호 eatmeburger,덕진구,송천동2가,송천동·에코시티권,브리스킷 버거,12000,인근 공영주차장,추천,추천,추천,제한적,수제버거와 2·4인 플래터가 있으며 바·2인·4인 좌석으로 혼밥부터 가족 소규모 식사까지 가능하다.,혼밥|가족식사|주차대안,A,"잇미버거은(는) 송천동·에코시티권에 있는 햄버거 식당입니다. 대표 메뉴는 브리스킷 버거이고 가격은 12,000원. 주차는 인근 공영주차장입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 제한적입니다. 수제버거와 2·4인 플래터가 있으며 바·2인·4인 좌석으로 혼밥부터 가족 소규모 식사까지 가능하다."
122,광장포차 시골집,한식,"전북특별자치도 전주시 덕진구 덕진동1가 664-6 117호, 118호",덕진구,덕진동1가,전북대·덕진공원권,닭발,18000,주차 가능 표기,비추천,추천,비추천,추천,실내포차 감성의 다양한 안주와 저렴한 식사류가 특징이다. 대학생부터 중장년까지 모임 술자리로 이용됨.,단체모임|주차대안,A,"광장포차 시골집은(는) 전북대·덕진공원권에 있는 한식 식당입니다. 대표 메뉴는 닭발이고 가격은 18,000원. 주차는 주차 가능 표기입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 비추천, 단체 이용은 추천입니다. 실내포차 감성의 다양한 안주와 저렴한 식사류가 특징이다. 대학생부터 중장년까지 모임 술자리로 이용됨."
123,동창야채닭갈비 덕진점,닭갈비,전북특별자치도 전주시 덕진구 금암동 668-3,덕진구,금암동,전북대·금암동권,닭갈비(1인),11000,주차 가능 표기,비추천,추천,추천,가능,매콤달달한 닭갈비와 사리·볶음밥 조합이 가성비 좋다는 후기가 있다. 조리되어 나와 식사가 편함.,가족식사|주차대안,A,"동창야채닭갈비 덕진점은(는) 전북대·금암동권에 있는 닭갈비 식당입니다. 대표 메뉴는 닭갈비(1인)이고 가격은 11,000원. 주차는 주차 가능 표기입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 매콤달달한 닭갈비와 사리·볶음밥 조합이 가성비 좋다는 후기가 있다. 조리되어 나와 식사가 편함."
124,덕천식당,"순대,순댓국",전북특별자치도 전주시 덕진구 금암동 709-9,덕진구,금암동,전북대·금암동권,순대국밥,8000,매장 주차장 4~5대,추천,추천,가능,제한적,순대가 아닌 내장과 고기가 들어가는 전주식 순대국밥으로 양이 넉넉하다는 후기다. 매장 주차 4~5대 가능.,혼밥|주차대안,A,"덕천식당은(는) 전북대·금암동권에 있는 순대,순댓국 식당입니다. 대표 메뉴는 순대국밥이고 가격은 8,000원. 주차는 매장 주차장 4~5대입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 제한적입니다. 순대가 아닌 내장과 고기가 들어가는 전주식 순대국밥으로 양이 넉넉하다는 후기다. 매장 주차 4~5대 가능."
